CRT_sum,Estimate,NFC,NFC_Ra,NFC_Re,CRTEst_Calibration,Group,Group2,CRT_split,CRT_third,CRT_Four,Estimate_split,Calibration_split,NFC_split,CRT_POMP,Estimate_POMP,CRTNFC_Calibration,ZCRT_sum,ZEstimate,ZCalibration,ZNFC,ZNFC_Ra,ZNFC_Re,CRTxEstimate,CRT_Toplak,CRT_Thomson,ZCRT_Toplak,ZCRT_Thomson,CRT_ToplakxEstimate,Age,Sex,English,Random,StartDate,EndDate,Finished,confirmCode,CRTInst,CRT2_1,CRT2_2,CRT2_3,CRT2_4,CRT3_1,CRT3_2,CRT3_3,CRT3_4,RI_Inst,RI_1,RI_2,RI_3,RI_4,RI_5,RI_6,RI_7,RI_8,RI_9,RI_10,RI_11,RI_12,RI_13,RI_14,RI_15,RI_16,RI_17,RI_18,RI_19,RI_20,Length,Comments,CRT_ACC_1,CRT_ACC_2,CRT_ACC_3,CRT_ACC_4,CRT_ACC_5,CRT_ACC_6,CRT_ACC_7,CRT_ACC_8,RIb_1,RIb_2,RIb_3,RIb_4,RIb_5,RIb_6,RIb_7,RIb_8,RIb_9,RIb_10,RIb_11,RIb_12,RIb_13,RIb_14,RIb_15,RIb_16,RIb_17,RIb_18,RIb_19,RIb_20,P.RI_1,P.RI_3,P.RI_5,P.RI_6,P.RI_7,P.RI_10,P.RI_11,P.RI_15,P.RI_18,P.RI_20,P.RI_2,P.RI_4,P.RI_8,P.RI_9,P.RI_12,P.RI_13,P.RI_14,P.RI_16,P.RI_17,P.RI_19
1,1,100,100,100,0,1,1,1,1,1,1,2,2,12.5,12.5,-87.5,-1.3178985054771,-2.98730505794521,.864033286669664,1.73768535881503,1.75659381116752,1.41590875376719,3.93696487127017,0,1,-1.24652924272641,-.965557580273626,3.72376311167321,33,2,1,2,5/17/2016,5/17/2016,1,603706,1,3,30,0,2,1,8,1,9,1,1,1,5,1,1,5,1,1,1,5,1,1,5,5,5,5,5,1,5,5,5 minutes,no comments thanks for asking though ;),0,0,0,0,0,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,3,67.5,62.5,72.5,-2,1,1,1,1,1,1,1,1,12.5,37.5,-55,-1.3178985054771,-1.68675456862983,-.114211296513806,.0919039405384685,-.225984200842788,.310027615122587,2.22297132510393,0,1,-1.24652924272641,-.965557580273626,2.10258889509946,31,2,1,2,5/17/2016,5/17/2016,1,374226,1,6,30,10,2,1,8,1,27,1,2,3,4,3,2,3,2,2,2,4,2,3,3,4,4,3,4,2,4,4,4 mins, ,0,0,0,0,0,1,0,0,4,3,4,3,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,75,75,75,50,75,75,75,75,75,75,50,50,75,75,50,50,75,50,75,75
1,3,97.5,95,100,-2,1,1,1,1,1,1,1,2,12.5,37.5,-85,-1.3178985054771,-1.68675456862983,-.114211296513806,1.61108678817837,1.49225007623281,1.41590875376719,2.22297132510393,0,1,-1.24652924272641,-.965557580273626,2.10258889509946,28,1,1,2,5/17/2016,5/17/2016,1,702711,1,36,30,10,2,1,8,1,12,1,1,1,5,1,1,5,1,1,1,5,1,1,3,5,5,5,5,1,5,5,5 minutes, ,0,0,0,0,0,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100
1,4,36.25,37.5,35,-3,1,1,1,1,1,1,1,1,12.5,50,-23.75,-1.3178985054771,-1.03647932397215,-.603333588105541,-1.49057819241976,-1.54770287551633,-1.19799211939278,1.36597455202081,0,1,-1.24652924272641,-.965557580273626,1.29200178681258,35,1,1,2,5/17/2016,5/17/2016,1,212988,1,7,28,10,1,1,8,1,27,1,4,4,3,4,4,2,4,4,4,2,4,4,3,4,4,2,2,3,4,2,5,no,0,0,0,0,0,1,0,0,2,2,3,2,2,2,2,2,2,2,2,2,3,4,4,2,2,3,4,2,25,50,25,25,25,25,25,75,50,25,25,25,25,25,25,50,75,25,25,75
1,4,66.25,67.5,65,-3,1,1,1,1,1,1,1,1,12.5,50,-53.75,-1.3178985054771,-1.03647932397215,-.603333588105541,.0286046552201392,.0383595340919197,.00842366821951473,1.36597455202081,0,1,-1.24652924272641,-.965557580273626,1.29200178681258,25,1,1,2,5/17/2016,5/17/2016,1,756460,1,3,30,10,2,1,8,1,32,1,2,2,4,4,2,3,2,2,2,4,2,2,3,4,3,4,4,4,4,4,7 minutes, ,0,0,0,0,0,1,0,0,4,4,4,2,4,3,4,4,4,4,4,4,3,4,3,4,4,2,4,4,75,75,75,50,75,75,75,50,25,75,75,25,75,75,75,50,75,75,75,75
1,4,60,57.5,62.5,-3,1,1,1,1,1,1,1,1,12.5,50,-47.5,-1.3178985054771,-1.03647932397215,-.603333588105541,-.287891771371507,-.490327935777497,-.0921109807481761,1.36597455202081,1,0,-.540291312636833,-1.83171952728379,.56000077446985,29,1,1,2,5/17/2016,5/17/2016,1,672491,1,6,1,20,2,0,7,1,9,1,2,2,4,4,2,5,2,2,2,1,1,4,5,4,4,2,4,4,2,2, , ,0,0,1,0,0,0,0,0,4,4,4,2,4,5,4,4,4,1,5,2,5,4,4,2,4,2,2,2,75,75,75,100,75,0,100,75,25,25,75,25,75,75,25,100,75,25,75,25
1,4,90,92.5,87.5,-3,1,1,1,1,1,1,1,2,12.5,50,-77.5,-1.3178985054771,-1.03647932397215,-.603333588105541,1.2312910762684,1.36007820876546,.913235508928732,1.36597455202081,0,1,-1.24652924272641,-.965557580273626,1.29200178681258,36,1,1,2,5/17/2016,5/17/2016,1,780460,1,2,30,10,2,1,8,1,3,1,1,1,5,2,1,5,1,1,1,4,4,1,4,5,4,5,4,1,5,5,15,Thank you for allowing me to participate in your study. Your study flowed very well. I hope my input is useful to your research.,0,0,0,0,0,1,0,0,5,5,5,4,5,5,5,5,5,4,2,5,4,5,4,5,4,5,5,5,100,100,100,100,100,75,25,75,100,100,100,75,100,100,100,75,100,100,75,100
2,2,30,40,20,0,1,1,1,1,1,1,2,1,25,25,-5,-.85178359420423,-2.33702981328752,.864033286669664,-1.80707461901141,-1.41553100804898,-1.80120001319892,1.99064365412449,1,1,-.540291312636833,-.965557580273626,1.26267690549253,30,2,1,2,5/17/2016,5/17/2016,1,952038,1,3,15,10,3,1,8,1,9,1,4,3,1,3,4,2,5,4,3,2,5,4,2,2,3,3,2,4,4,2,4 minutes, ,0,0,0,1,0,1,0,0,2,3,1,3,2,2,1,2,3,2,1,2,2,2,3,3,2,2,4,2,25,0,25,25,0,25,0,50,25,25,50,50,25,50,25,25,25,50,25,75
2,2,78.75,87.5,70,0,1,1,1,1,1,1,2,2,25,25,-53.75,-.85178359420423,-2.33702981328752,.864033286669664,.661597508403432,1.09573447383075,.209492966154896,1.99064365412449,2,0,.165946617452742,-1.83171952728379,-.387822192401278,36,2,1,2,5/17/2016,5/17/2016,1,122986,1,18,30,20,3,1,6,1,18,1,2,2,4,2,1,4,1,1,1,4,4,1,4,5,2,5,4,3,4,5,15, ,0,0,1,1,0,0,0,0,4,4,4,4,5,4,5,5,5,4,2,5,4,5,2,5,4,3,4,5,75,75,100,75,100,75,25,25,50,100,75,75,100,100,100,75,100,100,75,75
2,2,72.5,67.5,77.5,0,1,1,1,1,1,1,2,2,25,25,-47.5,-.85178359420423,-2.33702981328752,.864033286669664,.345101081811786,.0383595340919197,.511096913057969,1.99064365412449,2,0,.165946617452742,-1.83171952728379,-.387822192401278,61,2,1,2,5/17/2016,5/17/2016,1,421289,1,4,30,10,3,1,7,1,9,1,2,3,4,2,2,4,1,2,2,3,2,4,4,4,4,4,4,1,4,4,6 minutes,I can't think of anything.,1,0,0,1,0,0,0,0,4,3,4,4,4,4,5,4,4,3,4,2,4,4,4,4,4,5,4,4,75,75,75,75,100,50,75,75,100,75,50,75,75,75,25,75,75,75,75,75
